Date,MeanTemp,GHG emmisions
06/09/1906,-0.3053,112674446
06/10/1906,-0.2,129573881.8
06/10/1906,-0.2809,114476781.9
06/11/1906,-0.38,125040858.3
06/11/1906,-0.3676,110295909.6
06/12/1906,-0.18,115160710.6
06/12/1906,-0.165,128612809.3
06/01/1907,-0.44,113155876.9
06/01/1907,-0.3443,116082291.1
06/02/1907,-0.53,111808309.3
06/02/1907,-0.4038,114155591.8
06/03/1907,-0.25,120851681.6
06/03/1907,-0.276,109952952
06/04/1907,-0.4,123365072.4
06/04/1907,-0.3508,121519354.5
06/05/1907,-0.46,105604041.1
06/05/1907,-0.4669,113105746.9
06/06/1907,-0.43,113588805.4
06/06/1907,-0.3742,115358614.5
06/07/1907,-0.35,115819188.8
06/07/1907,-0.3547,111035877.4
06/08/1907,-0.37,123106414.9
06/08/1907,-0.3378,113056976.5
06/09/1907,-0.32,121642850
06/09/1907,-0.3364,122398998.5
06/10/1907,-0.24,120175313.8
06/10/1907,-0.3047,120566273.7
06/11/1907,-0.51,117028659.4
06/11/1907,-0.5055,111270308.9
06/12/1907,-0.5,108011936.6
06/12/1907,-0.3922,116626688.1
06/01/1908,-0.46,114688535
06/01/1908,-0.36,118153922.3
06/02/1908,-0.36,120354093.8
06/02/1908,-0.3753,124062885.7
06/03/1908,-0.58,124028074.8
06/03/1908,-0.6041,111763921.3
06/04/1908,-0.46,128542295.7
06/04/1908,-0.4832,118438219.9
06/05/1908,-0.4,122483771.8
06/05/1908,-0.3982,122720797.9
06/06/1908,-0.39,110757141.5
06/06/1908,-0.4062,117993423.4
06/07/1908,-0.35,118786280.7
06/07/1908,-0.3874,110741628.5
06/08/1908,-0.45,129930557.7
06/08/1908,-0.4787,127466280.2
06/09/1908,-0.33,117725984.1
06/09/1908,-0.3973,126661213.9
06/10/1908,-0.43,116733257.9
06/10/1908,-0.5169,117713225.9
06/11/1908,-0.51,127123481.4
06/11/1908,-0.4833,118566087.8
06/12/1908,-0.5,125497622
06/12/1908,-0.3846,119720857.1
06/01/1909,-0.7,121218032.6
06/01/1909,-0.5499,119256372.5
06/02/1909,-0.47,137793486.9
06/02/1909,-0.4563,136523821
06/03/1909,-0.52,123320260.9
06/03/1909,-0.5399,120324923.1
06/04/1909,-0.59,119056323.4
06/04/1909,-0.5264,134848214.9
06/05/1909,-0.54,132757009.1
06/05/1909,-0.4512,118302438.9
06/06/1909,-0.52,134992504
